,job_title,company,experience,salary,location,description,tags_associated,function_area,posting_date,scarping_date
105,Merchandiser,Acme Services,2-6 Yrs,Not disclosed,Mumbai, Plan and develop merchandising strategies that balance customers expectations and compa...,forecasting,monitoring inventory maintenance sales merchandising stores merchandising strategies,5 Days Ago,2023-03-07
106,Merchandiser,Ford Global Business Services,1-4 Yrs,Not disclosed,Chennai, Control the availability of a specific range of parts stocked in European Source locati...,sap,monitoring supply chain management merchandising supervision supply,10 Days Ago,2023-03-07
107,Merchandiser,PGS Partner India,4-6 Yrs,Not disclosed,Gurgaon/Gurugram, Anticipate issues /delays and provide timely solution to customer. . . . Desired Candid...,Apparel Merchandising,Fashion Designing Merchandising Buying House buying design fashion apparel,6 Days Ago,2023-03-07
108,Merchandiser,tex India,2-5 Yrs,3-4 Lacs PA,Panipat, Candidate should be fluent in English both in Speaking and writing Should be capable of...,merchandising,,7 Days Ago,2023-03-07
109,Merchandiser,Golden Opportunities,4-7 Yrs,Not disclosed,Chennai, Needs to have good communication skills problem solving skills and a keenness to learnC...,merchandising,textile communication skills,4 Days Ago,2023-03-07
110,Merchandiser,Multiplier Brand Solutions,1-4 Yrs,Not disclosed,Vijayawada," Managing, training, and providing overall guidance to the sales team of an assigned ter...",training,management monitoring branding sales merchandising brand awareness,3 Days Ago,2023-03-07
111,Merchandiser,Multiplier Brand Solutions,1-4 Yrs,Not disclosed,Hyderabad/Secunderabad," Managing, training, and providing overall guidance to the sales team of an assigned ter...",training,outbound awareness brand awareness monitoring brand branding training management,3 Days Ago,2023-03-07
112,Merchandiser,10 Am Hr Source,6-9 Yrs,3-7 Lacs PA,Loni, Experienced Merchandiser cum designer (both Male & Female) For Export house at Tronica ...,Denim,merchandising apparel merchandising apparel industry retail apparel retail merchandising,6 Days Ago,2023-03-07
113,Merchandiser For ROW (Rest of the World) - Thane,Indo Count Industries,3-8 Yrs,5-7 Lacs PA,"Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)"," Merchandising, Sheeting experience, Excel proficiency, Basic understanding of SAP",Merchandising,buying row costing rest sampling merchandiser,11 Days Ago,2023-03-07
114,Merchandiser,Acme Services,2-6 Yrs,Not disclosed,Mumbai," . Liaise closely with merchandising, operations, and customer service teams to improve ...",uat,software testing customer experience cms stock customer service management project development,13 Days Ago,2023-03-07
115,Jewel Merchandiser,Acme Services,2-6 Yrs,Not disclosed,Mumbai," . Liaise closely with merchandising, operations, and customer service teams to improve ...",customer service,uat management e-commerce project cms merchandising customer experience,13 Days Ago,2023-03-07
116,Merchandiser,Acme Services,2-6 Yrs,Not disclosed,Mumbai," E nsure that products appear in the right store or website, at the right time and in th...",sales,monitoring project forecasting merchandising project sales statistics,13 Days Ago,2023-03-07
117,Website Merchandiser,Acme Services,1-5 Yrs,Not disclosed,Mumbai, Update content on the website in terms of product links and uploads including words and...,merchandising,monitoring web technologies sales,13 Days Ago,2023-03-07
118,Site Merchandiser,Acme Services,2-6 Yrs,Not disclosed,Mumbai," Coordinate & manage resources to provide a smooth jounrey on CLP, PLP & PDP pages by pl...",management,site site management program marketing research usage software testing,13 Days Ago,2023-03-07
119,Merchandiser,Haren Textiles,3-8 Yrs,4-8 Lacs PA,"Tarapur, Mumbai Suburban, Boisar", HAREN TEXTILES PVT LTDDOC. NO.: JD/PPC/02JOB DESCRIPTIONREVIEW DATE 25.01.2020 DEPARTME...,PPC,Production Planning Control production textile production planning planning merchandising control plan,12 Days Ago,2023-03-07
120,Merchandiser,Unique World Placement,2-7 Yrs,3-6 Lacs PA,Surat, Overseeing the planning and implementation of merchandising strategies. To support Supe...,Fabrics,Planning Management Merchandising Communication communication skills presentable excel,2 Days Ago,2023-03-07
121,"Ecommerce Amazon Manager, Pune",Ozori Industries,1-6 Yrs,2.5-4 Lacs PA,Pune(Katraj Kondhwa Road)," CompanyColombian Brew Coffee is a leading coffee brand in India, UAE, USA, etc.PostionE...",amazon seller central,Ecommerce Development ecommerce listings ecommerce management marketplace listings management instagram marketing media marketing,3 Days Ago,2023-03-07
122,Ecommerce Executive,Ecommex Sourcing,0-2 Yrs,1-2 Lacs PA,Vadodara, General Office time (day shift) The candidate should be a graduate in any specializatio...,Excel,communication skills advanced excel back office back office operations sheet back office operation selling,10 Days Ago,2023-03-07
123,Ecommerce Executive,Rishab World,0-3 Yrs,2-3 Lacs PA,Mumbai (All Areas), Well Versed with MS-Office,order management,client interaction communication skills order fulfillment digital e-commerce digital communication inventory,11 Days Ago,2023-03-07
124,Ecommerce Executive,Ananta Resource Management,1-2 Yrs,Not disclosed,Bangalore/Bengaluru," Skills Required : Microsoft Excel, Business to Business (B2B) Sales, E-Commerce . Exper...",monitoring,analysis mis research excel vlookup competitor analysis e-commerce,1 Day Ago,2023-03-07
125,Key Account Manager - Ecommerce,Relaxo,7-12 Yrs,11-15 Lacs PA,Delhi / NCR," Thorough experience and deep knowledge of the Digital eco-system, including hands-on ex...",Ecommerce Marketing,management digital marketing digital sales digital sales key accounts key,4 Days Ago,2023-03-07
126,Manager - Marketing - eCommerce,Successr Hr Tech,2-7 Yrs,Not disclosed,Bangalore/Bengaluru, Minimum 2 to 3 years- experience in e-commerce industry with strong knowledge and good ...,MS Excel,sales statistics Marketing management product pricing sales catalog sales promotion,7 Days Ago,2023-03-07
127,Manager - Marketing - eCommerce,Successr Hr Tech,2-7 Yrs,Not disclosed,Bangalore/Bengaluru, Minimum 2 to 3 years- experience in e-commerce industry with strong knowledge and good ...,Marketing,management e-commerce microsoft vlookup pivot excel MS Excel,7 Days Ago,2023-03-07
128,Manager - App Marketing - Internet/Online/eCommerce,Prime Infosoft,4-7 Yrs,Not disclosed,Bangalore/Bengaluru," 4-5 years of digital marketing experience with E-commerce, Social commerce or Ed-Tech -...",Usage,Google Analytics Analytical Strategic planning Digital marketing management google e-commerce,5 Days Ago,2023-03-07
129,Ecommerce Executive,Neve Jewels,2-7 Yrs,Not disclosed,Mumbai (All Areas), Dear CandidateWe have an excellent opening for the position of Ecommerce Executive.The ...,ppc,Cataloguing Website Analysis google analytics analytics google web technologies e-commerce,1 Day Ago,2023-03-07
130,eCommerce Portal Manager Sr,Successr Hr Tech,6-8 Yrs,Not disclosed,Bangalore/Bengaluru, Minimum 7 to 10years experience in e-commerce industry with strong knowledge and good u...,Ecommerce Development,digital campaigns digital vlookup management planning e-commerce brand communication,5 Days Ago,2023-03-07
131,ECommerce Manager,RGBSI,15-19 Yrs,Not disclosed,"Chennai, Bangalore/Bengaluru", Position requires a four-year degree from an accredited college or university. •Ten yea...,WEBSPHERE COMMERCE SUBSYTEMS,E-commerce websphere management websphere commerce server,3 Days Ago,2023-03-07
132,Moshi Moshi - Category Manager - eCommerce Domain,Moshi Moshi,5-7 Yrs,Not disclosed,Bangalore/Bengaluru, Category Manager- E-Commerce Roles and Responsibilities :- Business Opportunity mapping...,B2B Marketing,management category management moshi b2b e-commerce marketing dns,5 Days Ago,2023-03-07
133,Asst. Manager - ECommerce Sales,Zebronics,3-8 Yrs,Not disclosed,Chennai," Working closely with the Category Managers of Amazon, Flipkart, Myntra, etc for busines...",ECommerce,E-Commerce online sales ECommerce Sales trend sales management ecommerce development business development,6 Days Ago,2023-03-07
134,Manager/Senior Manager - Marketing - eCommerce,Megma Services,5-9 Yrs,Not disclosed,Mumbai," The ideal candidate must be able to think and act both strategically and tactically, be...",Marketing,management brand management marketing management senior management app marketing e-commerce branding,7 Days Ago,2023-03-07
135,eCommerce Manager - eCommerce,Right Brain Recruitment,3-6 Yrs,Not disclosed,Bangalore/Bengaluru," - Effectively manage, support brand and manage daily operations of various brands to en...",Relationship management,Claims E-commerce Logistics Process management customer service management customer service management,5 Days Ago,2023-03-07
136,Senior Portal Manager - eCommerce,Successr Hr Tech,7-10 Yrs,Not disclosed,Bangalore/Bengaluru, What we are looking for . . - Minimum 7 to 10years- experience in e-commerce industry w...,Commercial Banking,BFSI Sales Corporate Banking marketing commercial research market research reporting,7 Days Ago,2023-03-07
137,Product Manager - eCommerce,Meyrahkee,3-8 Yrs,Not disclosed,Bangalore/Bengaluru, Devise Product Strategy: Define both long term strategy and quarterly roadmap to achiev...,Product Management,management internet consumer internet e-commerce consumer it product development online product management,6 Days Ago,2023-03-07
138,Assistant Manager - US GAAP Accounting - eCommerce - CA,Phenom Placement,2-6 Yrs,Not disclosed,Bangalore/Bengaluru, Employer - Leading E-commerce payment system and digital wallet companyRole. - Assistan...,Accounting,balance sheet reconciliation ledger accounting e-commerce management balance finance,5 Days Ago,2023-03-07
139,Insights Manager - Ecommerce and Gaming,Right Brain Recruitment,4-8 Yrs,Not disclosed,Bangalore/Bengaluru, Role Overview :The manager will be responsible for providing information and insights r...,market analysis,marketing research management insights gaming competitive analysis e-commerce,6 Days Ago,2023-03-07
140,Product Manager - eCommerce,Meyrahkee Advisors,3-8 Yrs,Not disclosed,Bangalore/Bengaluru, Devise Product Strategy: Define both long term strategy and quarterly roadmap to achiev...,Product Management,management internet consumer internet e-commerce consumer it product development online product management,5 Days Ago,2023-03-07
141,ERP Senior Consultant-Tech,Mphasis,8-10 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru", Who are we looking for?SAP CPI/BTP Skilled Professionals.Technical Skills: *Required Te...,ERP,management contracts warehouse inventory supply warehouse management supply chain,1 Day Ago,2023-03-07
142,MM Consultant - MENA ERP,Alp Consulting Ltd,10-12 Yrs,Not disclosed,Pune, . . . . . . . . . . . Graduate in engineering / Masters in business . . . . . . . . . ....,management,consulting erp edi business process engineering troubleshooting ariba,9 Days Ago,2023-03-07
143,ERP Functional Consultant,ACG Infotech,4-9 Yrs,Not disclosed,Noida, Preference will be given to candidate having strong knowledge in Finance & Accounts 5 s...,Business Analytics,erp functional Business Analysis ERP Implementation Implementation And Maintenance project management erp business process optimization,7 Days Ago,2023-03-07
144,ERP Delivery Manager/ ERP Implementation Consultant/ERP Implementer,Nway Technologies,4-7 Yrs,3.5-7.5 Lacs PA,Indore, Job DescriptionPosition: ERP Delivery Manager /ERP Project Manager/ Senior ERP Implemen...,ERP Project Management,Finance Module ERP ERP Training erp consulting project management training construction management,7 Days Ago,2023-03-07
145,Consultant - SAP ERP SD,Bristlecone,5-7 Yrs,Not disclosed,Bangalore/Bengaluru, Bachelor degree BBAMBA in marketing with 5 to 7 years of experienceMinimum two new proj...,sap,sd change sap erp mt management san security,13 Days Ago,2023-03-07
146,ERP Senior Principal Consultant,Mphasis,12-15 Yrs,Not disclosed,Bangalore/Bengaluru, Solution Architect (Level8) –Microsoft Dynamics CRM (Dynamics 365) –IndiaWho are we loo...,ERP,presales application integration microsoft azure devops rfp microsoft dynamics sql devops,21 Days Ago,2023-03-07
147,ERP Functional Consultant,Eworkplace Apps,5-7 Yrs,Not disclosed,Indore, Experience in Crystal reports & UAT,ERP implementation,sap b1 functional sap b1 uat consulting erp,12 Days Ago,2023-03-07
148,Asst. Manager - IT : Oracle Functional ERP - Mumbai,Allana Group,8-12 Yrs,20-27.5 Lacs PA,Mumbai, Education qualification - Any GraduateRequired no Should have worked in OPM Formula & O...,MSCA,WMS OPM Oracle Process Manufacturing assistance oracle management functional,6 Days Ago,2023-03-07
149,ERP Functional Consultant,Tuhund,6-9 Yrs,Not disclosed,Bengaluru, Candidates from commerce stream but with some knowledge of HTML will be given preferenc...,project management,training after sales support marketing erp project consulting erp training,30+ Days Ago,2023-03-07
